Year,Month,Day,Intensity,Start,Peak Time,End,Event #,Max Drop,Lat,Lon,dist.R,AR#,Count,Flare
Year,Month,Day,intensity,start, peak,end,event #,max_drop,lat,lon,dist.R,AR#,count,flare
2016,1,15,-90,2:46,2:48,3:20,8851,91,5,46,0.75,AR 2480,26,C2
2016,1,11,-42,16:36,16:36,17:00,8850,57,,,1.05,,21,
2016,1,10,-25,2:16,2:16,2:44,8849,35,-11,47,0.74,AR 2478,23,
2016,1,10,-64,1:16,1:16,1:42,8848,77,-2,22,0.38,AR 2482,22,
2016,1, 7,-156,7:20,7:32,8:02,8847,62,,,1.09,,30,
2016,1, 7,-263,3:34,3:40,4:34,8846,58,-14,1,0.17,AR 2476,39,
2016,1, 6,-67,11:56,11:56,12:20,8845,24,-16,-53,0.81,,21,B4
2016,1, 6,-117,7:24,7:24,7:48,8844,78,-16,-11,0.28,AR 2476,21,
2016,1, 5,-72,3:24,3:30,4:04,8843,66,,,1.08,,29,
2016,1, 2,-88,2:18,2:20,2:44,8842,60,-30,74,0.97,AR 2473,22,
2016,1, 1,-958,23:08,23:26,0:16,8841,713,-28,73,0.97,AR 2473,43,
2015,12,30,-10,22:54,22:54,23:20,8840,36,-34,32,0.69,AR 2473,22,C3
2015,12,30,-13,19:14,19:14,19:46,8839,25,,,,,25,B5
2015,12,28,-25,22:58,23:02,23:44,8838,79,-19,28,0.54,AR 2473,32,C2
2015,12,28,-5,17:10,17:14,17:40,8837,17,,,,AR 2472,24,C1
2015,12,28,-4,14:32,14:32,14:58,8836,10,,,,AR 2472,22,
2015,12,28,-32,13:02,13:02,13:26,8835,31,-23,-4,0.37,AR 2473,21,M2
2015,12,28,"-1,023",11:32,11:54,12:56,8834,250,-20,16,0.4,AR 2473,51,
2015,12,26,-10,5:18,5:20,5:46,8832,35,,,,AR 2475,23,C4
2015,12,25,-13,17:32,17:32,18:00,8831,9,9,-27,0.49,AR 2472,23,C4
2015,12,25,-90,3:58,4:00,4:30,8830,101,-13,-24,0.45,AR 2473,25,
2015,12,24,-152,5:18,5:22,5:54,8829,28,-27,-60,0.9,AR 2473,27,
2015,12,24,-24,2:30,2:32,2:58,8828,31,-27,-58,0.88,AR 2473,23,C7
2015,12,23,-482,0:34,0:56,1:50,8827,410,-23,-72,0.96,AR 2473,47,M5
2015,12,22,-73,13:34,13:36,14:02,8826,54,,,1.09,,23,C5
2015,12,22,-63,5:28,5:30,5:56,8825,170,19,-21,0.5,,23,
2015,12,22,-184,3:34,3:38,4:20,8824,28,,,1.05,,32,M2
2015,12,22,-231,0:10,0:38,1:30,8823,95,,,1.07,,49,C2
2015,12,21,-25,18:40,18:42,19:06,8822,44,-14,-76,0.98,,18,C6
2015,12,21,-32,13:22,13:22,13:46,8821,26,,,1.04,,21,B7
2015,12,21,-23,10:56,10:58,11:24,8820,14,,,1.04,,23,C6
2015,12,21,-124,10:20,10:22,10:50,8819,151,,,1.11,,24,C6
2015,12,21,-146,1:02,1:06,1:44,8818,154,,,1.14,,30,M1
2015,12,20,-121,22:40,22:44,23:28,8817,107,,,1.07,,33,
2015,12,20,-28,19:34,19:34,20:02,8816,51,-11,64,0.91,AR 2468,23,C2
2015,12,19,-85,22:12,22:22,23:24,8815,47,,,1.11,,45,
2015,12,19,-268,13:04,13:04,14:00,8814,277,,,1.11,,37,
2015,12,19,-54,6:34,6:34,6:58,8813,17,,,,AR 2470,21,
2015,12,19,-35,2:10,2:10,2:40,8812,79,-15,37,0.63,AR 2468,24,C2
2015,12,19,-128,0:04,0:14,0:42,8811,42,17,9,0.35,AR 2469,28,
2015,12,18,-99,17:24,17:34,18:02,8810,59,12,35,0.61,AR 2469,28,
2015,12,18,-97,7:36,7:38,8:16,8809,32,16,-6,0.32,AR 2470,29,
2015,12,18,-78,6:10,6:10,6:54,8808,66,,,,AR 2469,31,
2015,12,18,-35,5:08,5:08,5:34,8807,138,19,-9,0.38,AR 2470,22,C3
2015,12,16,-753,13:42,14:16,15:12,8806,208,-32,-25,0.63,AR 2471,54,
2015,12,16,-887,8:04,8:42,10:42,8805,54,-12,1,0.19,AR 2468,88,C7
2015,12,15,-33,23:40,23:40,0:06,8804,45,-13,-7,0.25,AR 2468,22,
2015,12,15,-79,22:20,22:44,23:08,8803,46,-11,-9,0.24,AR 2468,33,
2015,12,15,-95,21:16,21:40,22:06,8802,122,-16,-15,0.36,AR 2468,34,
2015,12,14,-59,1:24,1:26,1:54,8801,74,-12,-33,0.57,AR 2468,24,
2015,12,13,-125,12:04,12:06,12:36,8800,112,-7,-36,0.6,AR 2468,25,
2015,12,13,-619,8:46,10:28,11:52,8799,13,-12,-40,0.66,AR 2468,102,C5
2015,12,12,-274,4:24,4:42,5:22,8798,123,-6,28,0.48,AR 2466,38,
2015,12,11,-96,20:02,20:14,20:26,8797,58,-5,-9,0.18,AR 2465,21,
2015,12,11,-265,17:08,17:20,18:02,8796,209,-7,-14,0.28,AR 2465,36,C6
2015,12,11,-153,4:26,4:42,5:12,8795,151,,,1.08,,32,
2015,12, 8,-186,22:54,22:58,23:38,8794,125,-5,-48,0.75,AR 2465,31,C4
2015,12, 8,-166,17:52,17:54,18:22,8793,147,-14,-33,0.59,AR 2464,24,B6
2015,12, 7,-53,14:48,14:48,15:28,8792,183,,,1.09,,29,
2015,12, 4,-388,17:04,17:24,18:06,8791,194,16,-69,0.95,AR 2462,40,C6
2015,12, 2,-111,4:40,4:44,5:14,8790,112,16,54,0.83,AR 2458,26,C3
2015,12, 1,-446,8:06,8:16,9:06,8789,338,16,47,0.76,AR 2458,39,C4
2015,11,30,-169,15:14,15:16,15:46,8788,35,17,31,0.58,AR 2458,25,
2015,11,30,-145,2:44,2:52,3:28,8787,91,,,1.03,,31,
2015,11,28,-321,10:38,10:58,11:32,8786,59,19,27,0.53,AR 2457,36,
2015,11,26,-275,21:12,21:26,21:58,8785,122,22,6,0.37,AR 2457,32,
2015,11,25,-137,7:46,8:06,8:32,8784,118,,,1.09,,32,C2
2015,11,22,-18,5:46,5:46,6:32,8783,19,,,,,32,C6
2015,11,22,-297,1:44,1:52,2:30,8782,58,25,30,0.61,AR 2454,32,C3
2015,11,21,-208,13:50,13:54,14:38,8781,132,14,26,0.49,AR 2454,33,C3
2015,11,20,-110,12:30,12:36,13:10,8780,32,14,38,0.64,AR 2454,29,
2015,11,18,-116,19:28,19:38,20:04,8779,28,10,57,0.85,,27,
2015,11,18,-134,0:12,0:22,0:50,8778,101,4,-15,0.27,AR 2454,28,
2015,11,17,-73,16:12,16:14,16:42,8777,21,,,1.11,,24,B4
2015,11,17,-52,1:30,1:32,2:00,8776,52,,,,AR 2455,24,
2015,11,16,-89,4:40,4:40,5:06,8775,26,-23,33,0.67,AR 2449,22,
2015,11,16,-367,2:02,2:22,3:06,8774,43,-19,27,0.58,AR 2449,41,C1
2015,11,15,"-1,017",22:22,23:16,1:56,8773,86,-3,26,0.46,AR 2453,116,
2015,11,13,-33,1:32,1:32,1:58,8772,70,-19,-51,0.83,,22,B9
2015,11,11,-251,13:44,13:54,14:22,8771,98,5,18,0.32,AR 2451,28,
2015,11, 9,-447,13:06,13:12,14:02,8770,318,-13,-43,0.73,AR 2449,37,M3
